filename, file size, TTH (time to handle), compression
rpi_lora_lte_records_2021-05-17T02-02-51.098981.csv_1,94740,8.57389593124,False
rpi_lora_lte_records_2021-05-17T02-02-51.098981.csv_2,94740,6.52809596062,False
rpi_lora_lte_records_2021-05-17T02-02-51.098981.csv_3,94740,6.35600996017,False
rpi_lora_lte_records_2021-05-17T02-02-51.098981.csv_4,94740,6.38731694221,False
rpi_lora_lte_records_2021-05-17T02-02-51.098981.csv_5,94740,5.4163620472,False
rpi_lora_lte_records_2021-05-17T02-03-02.026539.csv_1,94760,5.37897205353,False
rpi_lora_lte_records_2021-05-17T02-03-02.026539.csv_2,94760,5.21048784256,False
rpi_lora_lte_records_2021-05-17T02-03-02.026539.csv_3,94760,5.24100399017,False
rpi_lora_lte_records_2021-05-17T02-03-02.026539.csv_4,94760,5.30066299438,False
rpi_lora_lte_records_2021-05-17T02-03-02.026539.csv_5,94760,5.13914299011,False
