filename, file size, TTH (time to handle), compression
iasc2021-06-09T16-43-24.771683.csv,30724,87.83993768692017,False,87.7184473499874
iasc2021-06-09T16-43-24.771683.csv,30724,87.83993768692017,False,87.7184473499874
iasc2021-06-09T16-43-31.178754.csv,30724,87.704833984375,False,87.59004880901193
iasc2021-06-09T16-43-24.771683.csv,30724,87.83993768692017,False,87.7184473499874
iasc2021-06-09T16-43-31.178754.csv,30724,87.704833984375,False,87.59004880901193
iasc2021-06-09T16-43-37.798860.csv,30724,90.58305287361145,False,90.48428927001805
iasc2021-06-09T16-43-24.771683.csv,30724,87.83993768692017,False,87.7184473499874
iasc2021-06-09T16-43-31.178754.csv,30724,87.704833984375,False,87.59004880901193
iasc2021-06-09T16-43-37.798860.csv,30724,90.58305287361145,False,90.48428927001805
iasc2021-06-09T16-43-43.953369.csv,30724,86.20460963249207,False,86.10630127998957
iasc2021-06-09T16-43-24.771683.csv,30724,87.83993768692017,False,87.7184473499874
iasc2021-06-09T16-43-31.178754.csv,30724,87.704833984375,False,87.59004880901193
iasc2021-06-09T16-43-37.798860.csv,30724,90.58305287361145,False,90.48428927001805
iasc2021-06-09T16-43-43.953369.csv,30724,86.20460963249207,False,86.10630127998957
iasc2021-06-09T16-43-49.617540.csv,30724,86.17000031471252,False,86.07152748299995
