filename, file size, TTH (time to handle), compression
rpi_lora_lte_records_2021-05-14T22-00-55.770345.csv_1,30724,6.25942802429,True
rpi_lora_lte_records_2021-05-14T22-01-00.061157.csv_1,30724,4.77862381935,True
rpi_lora_lte_records_2021-05-14T22-01-04.846848.csv_1,30724,4.65996599197,True
rpi_lora_lte_records_2021-05-14T22-00-55.770345.csv_2,30724,4.73521089554,True
rpi_lora_lte_records_2021-05-14T22-01-00.061157.csv_2,30724,4.76206803322,True
rpi_lora_lte_records_2021-05-14T22-01-12.344210.csv_1,30724,4.6809899807,True
rpi_lora_lte_records_2021-05-14T22-01-04.846848.csv_2,30724,4.70333003998,True
rpi_lora_lte_records_2021-05-14T22-01-15.807989.csv_1,30724,4.83465981483,True
rpi_lora_lte_records_2021-05-14T22-01-19.081368.csv_1,30724,4.65163612366,True
rpi_lora_lte_records_2021-05-14T22-01-12.344210.csv_2,30724,4.8531191349,True
rpi_lora_lte_records_2021-05-14T22-01-22.742326.csv_1,30724,4.93667507172,True
rpi_lora_lte_records_2021-05-14T22-01-15.807989.csv_2,30724,4.69890189171,True
rpi_lora_lte_records_2021-05-14T22-01-25.822730.csv_1,30724,4.70597696304,True
rpi_lora_lte_records_2021-05-14T22-01-19.081368.csv_2,30724,4.77071118355,True
rpi_lora_lte_records_2021-05-14T22-01-28.438154.csv_1,30724,4.70573306084,True
rpi_lora_lte_records_2021-05-14T22-01-22.742326.csv_2,30724,4.622164011,True
rpi_lora_lte_records_2021-05-14T22-01-25.822730.csv_2,30724,4.74498295784,True
rpi_lora_lte_records_2021-05-14T22-01-28.438154.csv_2,30724,4.80251598358,True
