filename, file size, TTH (time to handle), compression
iasc2021-06-09T14-14-43.125583.csv_2,20482,1623237351.0704486,False,1623237285.9515889,62.133
iasc2021-06-09T14-16-43.268008.csv_2,20482,1623237474.1764538,False,1623237408.2538347,63.043
iasc2021-06-09T14-18-43.556351.csv_2,20482,1623237625.5429583,False,1623237526.4320626,90.758
iasc2021-06-09T14-20-43.849467.csv_2,20482,1623237747.8764923,False,1623237647.2911081,96.265
iasc2021-06-09T14-22-44.136209.csv_2,20482,1623237929.191716, False,1623237768.6515038,149.616
iasc2021-06-09T14-24-44.418488.csv_2,20482,1623238051.4419222,False,1623237918.3279226,131.059


iasc2021-06-09T14-15-00.828612.csv_1,20482,1623237413.009096,False ,1623237301.0120893,105.737
iasc2021-06-09T14-17-01.058162.csv_1,20482,1623237626.516123,False ,1623237421.840657,202.132
iasc2021-06-09T14-19-01.352138.csv_1,20482,1623237980.3716013,False,1623237624.0398571,346.589
iasc2021-06-09T14-21-01.611265.csv_1,20482,1623238598.5482311,False,1623237970.6965365,623.008
iasc2021-06-09T14-23-01.751216.csv_1,20482,1623239911.1093535,False,1623238593.764804,1312.345
iasc2021-06-09T14-25-01.980768.csv_1,20482,1623239972.2776945,False,1623239906.1757448,59.115
